Auction_id,Auction_Desc,round_num,bip_name,bip_desc,price,prov_winner,pw_bid_rnd_num,prev_prov_winner,prev_pw_bid_rnd_num
66,Advanced Wireless Services,161,AW-CMA730-A,Virgin Islands 1 - St. Thomas,93000,Innovative Communication Corporation,128,Innovative Communication Corporation,128
66,Advanced Wireless Services,161,AW-CMA731-A,Virgin Islands 2 - St. Croix,91000,Innovative Communication Corporation,128,Innovative Communication Corporation,128
66,Advanced Wireless Services,161,AW-CMA732-A,Guam,0,FCC,0,FCC,0
66,Advanced Wireless Services,161,AW-CMA733-A,American Samoa,34000,"AST Telecom, LLC",1,"AST Telecom, LLC",1
66,Advanced Wireless Services,161,AW-CMA734-A,Northern Mariana Islands,0,FCC,0,FCC,0
66,Advanced Wireless Services,161,AW-BEA001-B,Bangor ME,437000,SpectrumCo LLC,40,SpectrumCo LLC,40
66,Advanced Wireless Services,161,AW-BEA001-C,Bangor ME,316000,T-Mobile License LLC,115,T-Mobile License LLC,115
66,Advanced Wireless Services,161,AW-BEA002-B,Portland ME,3513000,SpectrumCo LLC,52,SpectrumCo LLC,52
66,Advanced Wireless Services,161,AW-BEA002-C,Portland ME,2229000,T-Mobile License LLC,85,T-Mobile License LLC,85
66,Advanced Wireless Services,161,AW-BEA003-B,Boston-Worcester MA-NH-RI-VT,76849000,SpectrumCo LLC,48,SpectrumCo LLC,48
66,Advanced Wireless Services,161,AW-BEA003-C,Boston-Worcester MA-NH-RI-VT,30470000,"Cingular AWS, LLC",35,"Cingular AWS, LLC",35
66,Advanced Wireless Services,161,AW-BEA004-B,Burlington VT-NY,1533000,SpectrumCo LLC,107,SpectrumCo LLC,107
66,Advanced Wireless Services,161,AW-BEA004-C,Burlington VT-NY,1070000,"Vermont Telephone Company, Inc.",141,"Vermont Telephone Company, Inc.",141
66,Advanced Wireless Services,161,AW-BEA005-B,Albany-Schenectady-Troy NY,2915000,SpectrumCo LLC,50,SpectrumCo LLC,50
66,Advanced Wireless Services,161,AW-BEA005-C,Albany-Schenectady-Troy NY,2962000,AWS Wireless Inc.,85,AWS Wireless Inc.,85
66,Advanced Wireless Services,161,AW-BEA006-B,Syracuse NY-PA,5812000,SpectrumCo LLC,49,SpectrumCo LLC,49
66,Advanced Wireless Services,161,AW-BEA006-C,Syracuse NY-PA,5618000,American Cellular Corporation,85,American Cellular Corporation,85
66,Advanced Wireless Services,161,AW-BEA007-B,Rochester NY-PA,5803000,SpectrumCo LLC,59,SpectrumCo LLC,59
66,Advanced Wireless Services,161,AW-BEA007-C,Rochester NY-PA,3706000,"Cricket Licensee (Reauction), Inc.",65,"Cricket Licensee (Reauction), Inc.",65
66,Advanced Wireless Services,161,AW-BEA008-B,Buffalo-Niagara Falls NY-PA,1693000,"Cingular AWS, LLC",24,"Cingular AWS, LLC",24
66,Advanced Wireless Services,161,AW-BEA008-C,Buffalo-Niagara Falls NY-PA,1206000,"Cricket Licensee (Reauction), Inc.",74,"Cricket Licensee (Reauction), Inc.",74
66,Advanced Wireless Services,161,AW-BEA009-B,State College PA,4997000,SpectrumCo LLC,77,SpectrumCo LLC,77
66,Advanced Wireless Services,161,AW-BEA009-C,State College PA,1282000,American Cellular Corporation,91,American Cellular Corporation,91
66,Advanced Wireless Services,161,AW-BEA010-B,NYC-Long Is. NY-NJ-CT-PA-MA-VT,468178000,SpectrumCo LLC,20,SpectrumCo LLC,20
66,Advanced Wireless Services,161,AW-BEA010-C,NYC-Long Is. NY-NJ-CT-PA-MA-VT,363945000,"MetroPCS AWS, LLC",41,"MetroPCS AWS, LLC",41
66,Advanced Wireless Services,161,AW-BEA011-B,Harrisburg-Lebanon-Carlisle PA,2373000,SpectrumCo LLC,87,SpectrumCo LLC,87
66,Advanced Wireless Services,161,AW-BEA011-C,Harrisburg-Lebanon-Carlisle PA,1935000,Spotlight Media Corp,92,Spotlight Media Corp,92
66,Advanced Wireless Services,161,AW-BEA012-B,Phil.-Atl. City PA-NJ-DE-MD,77838000,SpectrumCo LLC,37,SpectrumCo LLC,37
66,Advanced Wireless Services,161,AW-BEA012-C,Phil.-Atl. City PA-NJ-DE-MD,56092000,T-Mobile License LLC,51,T-Mobile License LLC,51
66,Advanced Wireless Services,161,AW-BEA013-B,Wash.-Balt. DC-MD-VA-WV-PA,148708000,SpectrumCo LLC,47,SpectrumCo LLC,47
66,Advanced Wireless Services,161,AW-BEA013-C,Wash.-Balt. DC-MD-VA-WV-PA,76066000,"Cingular AWS, LLC",36,"Cingular AWS, LLC",36
